filename,psnr,ssim
000000.npy,31.87839126586914,0.901307225227356
000001.npy,32.030548095703125,0.8780198693275452
000002.npy,32.65614318847656,0.8864313364028931
000003.npy,33.389427185058594,0.8979618549346924
000004.npy,21.41149139404297,0.6070359945297241
000005.npy,28.50124740600586,0.6806353330612183
000006.npy,28.549114227294922,0.6751606464385986
000007.npy,28.426055908203125,0.6817742586135864
000008.npy,22.187564849853516,0.7194545269012451
000009.npy,24.18515968322754,0.753545880317688
000010.npy,24.914306640625,0.755521297454834
000011.npy,24.448013305664062,0.7684282064437866
000012.npy,30.730510711669922,0.7549338340759277
000013.npy,24.904449462890625,0.9098680019378662
000014.npy,26.13058853149414,0.9305634498596191
000015.npy,24.631454467773438,0.9029271602630615
000016.npy,28.87171173095703,0.8184792995452881
000017.npy,24.53079605102539,0.8454815745353699
000018.npy,24.591175079345703,0.8433377742767334
000019.npy,24.458465576171875,0.844177782535553
000020.npy,32.11960983276367,0.8643895387649536
000021.npy,32.0423698425293,0.8967491388320923
000022.npy,31.997676849365234,0.8942458629608154
000023.npy,32.38801574707031,0.8972281217575073
000024.npy,19.81773567199707,0.590499997138977
000025.npy,22.959060668945312,0.7202925682067871
000026.npy,23.070362091064453,0.7195285558700562
000027.npy,22.85806655883789,0.7098990678787231
000028.npy,28.847553253173828,0.7313765287399292
000029.npy,25.581470489501953,0.7731631994247437
000030.npy,26.287872314453125,0.7842767238616943
000031.npy,25.813695907592773,0.7843815088272095
000032.npy,31.1904354095459,0.8988721966743469
000033.npy,24.753725051879883,0.6903455257415771
000034.npy,25.428844451904297,0.6500117182731628
000035.npy,24.751388549804688,0.6938303709030151
000036.npy,30.31563949584961,0.8016499280929565
000037.npy,26.579931259155273,0.6264773011207581
000038.npy,26.053741455078125,0.6089523434638977
000039.npy,26.62049102783203,0.6371756196022034
000040.npy,25.34172248840332,0.7828695178031921
000041.npy,26.617820739746094,0.86354660987854
000042.npy,25.518159866333008,0.8467124700546265
000043.npy,26.473464965820312,0.8607385158538818
000044.npy,19.672340393066406,0.7383815050125122
000045.npy,24.405261993408203,0.7118760943412781
000046.npy,24.262012481689453,0.7232587337493896
000047.npy,23.978979110717773,0.7023708820343018
000048.npy,30.669368743896484,0.9096376895904541
000049.npy,17.477811813354492,0.33575737476348877
000050.npy,17.407142639160156,0.334788978099823
000051.npy,17.203935623168945,0.3298826515674591
000052.npy,26.28144073486328,0.40201428532600403
000053.npy,25.906038284301758,0.6957899332046509
000054.npy,26.3592529296875,0.7015590667724609
000055.npy,27.382949829101562,0.769457221031189
000056.npy,27.611644744873047,0.8933446407318115
000057.npy,31.070653915405273,0.7072224617004395
000058.npy,31.578493118286133,0.7206343412399292
000059.npy,31.175392150878906,0.7069621086120605
000060.npy,26.722705841064453,0.6979014873504639
000061.npy,31.558446884155273,0.8087152242660522
000062.npy,31.066822052001953,0.792589008808136
000063.npy,31.228843688964844,0.8132267594337463
000064.npy,29.402191162109375,0.9081940650939941
000065.npy,27.507049560546875,0.7452620267868042
000066.npy,27.88141441345215,0.7645573616027832
000067.npy,26.698299407958984,0.7405650615692139
000068.npy,29.06165313720703,0.7766517400741577
000069.npy,33.20927810668945,0.9289940595626831
